iter	MultiClass
0	0.954604121
1	0.8400643153
2	0.7487305078
3	0.6738908801
4	0.6124604646
5	0.5585580012
6	0.5134534175
7	0.4724991296
8	0.4367639184
9	0.4059136156
10	0.3805510997
11	0.3552247071
12	0.3343175607
13	0.3135911297
14	0.2954621341
15	0.279846054
16	0.2654836831
17	0.2517747607
18	0.2404304415
19	0.2290177413
20	0.2197533537
21	0.2108442958
22	0.203118044
23	0.1956970178
24	0.1902709103
25	0.184531728
26	0.1785000403
27	0.1732360192
28	0.1685786315
29	0.1640692554
30	0.1598715658
31	0.15606983
32	0.1523092537
33	0.1504059213
34	0.1473948196
35	0.1447985229
36	0.1423377154
37	0.1397760674
38	0.1375400543
39	0.1352543324
40	0.1333605995
41	0.131068199
42	0.1293358731
43	0.1277950996
44	0.1266014903
45	0.1248815841
46	0.1234065366
47	0.1222979654
48	0.12146547
49	0.1204068297
50	0.1194780005
51	0.1185740297
52	0.1183011763
53	0.1173811652
54	0.116058915
55	0.1152877272
56	0.11429544
57	0.1135268094
58	0.1125222135
59	0.1116836535
60	0.1108554093
61	0.1103380822
62	0.1091670351
63	0.1083855446
64	0.1075309781
65	0.1071275934
66	0.1066119652
67	0.1058313778
68	0.1050767784
69	0.1044596459
70	0.1038611484
71	0.1032382177
72	0.1027808967
73	0.1023995069
74	0.1017763055
75	0.1009837285
76	0.1005901007
77	0.09993383625
78	0.09947404314
79	0.09869631049
80	0.09811601181
81	0.09724638116
82	0.09671209994
83	0.09632225224
84	0.09585980849
85	0.09552986489
86	0.09502285411
87	0.09449975589
88	0.09416264235
89	0.09395383575
90	0.09307724788
91	0.09277367962
92	0.0924740981
93	0.0921658001
94	0.09178905739
95	0.09145854677
96	0.09129397119
97	0.0907025993
98	0.09034460092
99	0.08983304037
100	0.0890797377
101	0.08893821031
102	0.08862974346
103	0.0885448037
104	0.08828465933
105	0.08762425031
106	0.08710380751
107	0.08642864655
108	0.08597308804
109	0.08569037724
110	0.08543292863
111	0.08516512604
112	0.08487571973
113	0.08431479008
114	0.08402670648
115	0.0837052862
116	0.08312017594
117	0.08300246583
118	0.0826610659
119	0.08228333991
120	0.08210805044
121	0.0816901733
122	0.08149137346
123	0.08120152722
124	0.08085163123
125	0.08038946476
126	0.07997479707
127	0.07967554727
128	0.07920573632
129	0.07899992527
130	0.07890097054
131	0.07867624062
132	0.0784226723
133	0.07822906161
134	0.07805530963
135	0.07790087083
136	0.07780244803
137	0.07762808821
138	0.07738716962
139	0.07693092698
140	0.07649506089
141	0.07632265553
142	0.07612000995
143	0.07587875972
144	0.07574419412
145	0.0753495195
146	0.07515597943
147	0.074684137
148	0.07433200367
149	0.07417515149
150	0.07392112762
151	0.07383486369
152	0.07360548686
153	0.07345960335
154	0.07323917296
155	0.07298739837
156	0.07272502099
157	0.07234825606
158	0.07205349187
159	0.07190521187
160	0.07181822296
161	0.07141702995
162	0.0713215088
163	0.07103088883
164	0.07085364097
165	0.07071425006
166	0.07044134599
167	0.0701605101
168	0.07004713231
169	0.06993901198
170	0.06976770987
171	0.0695365197
172	0.06931696473
173	0.06897423792
174	0.06880818716
175	0.06877390026
176	0.06838201958
177	0.06802728143
178	0.06773738423
179	0.06767957422
180	0.06739513709
181	0.06711145839
182	0.06673944813
183	0.06659683982
184	0.0663201752
185	0.06625103285
186	0.06607396678
187	0.06574252762
188	0.06547671529
189	0.06526809029
