iter	Passed	Remaining
417	2385	3321
418	2391	3315
419	2396	3309
420	2400	3302
421	2406	3296
422	2412	3290
423	2416	3283
424	2422	3277
425	2428	3272
426	2433	3265
427	2438	3259
428	2445	3255
429	2450	3248
430	2456	3243
431	2461	3236
432	2466	3229
433	2471	3223
434	2477	3217
435	2482	3210
436	2487	3204
437	2492	3198
438	2497	3191
439	2502	3184
440	2506	3177
441	2511	3170
442	2515	3163
443	2520	3155
444	2524	3148
445	2529	3141
446	2534	3134
447	2538	3127
448	2543	3121
449	2547	3113
450	2552	3106
451	2556	3099
452	2562	3093
453	2566	3087
454	2571	3080
455	2576	3074
456	2581	3067
457	2587	3062
458	2593	3057
459	2599	3051
460	2605	3045
461	2610	3039
462	2615	3033
463	2621	3028
464	2626	3021
465	2631	3015
466	2637	3010
467	2642	3003
468	2648	2998
469	2654	2993
470	2658	2986
471	2664	2980
472	2670	2974
473	2674	2968
474	2680	2962
475	2685	2956
476	2689	2949
477	2694	2942
478	2700	2936
479	2704	2930
480	2709	2923
481	2714	2917
482	2719	2911
483	2724	2904
484	2729	2898
485	2734	2891
486	2738	2885
487	2743	2878
488	2748	2871
489	2753	2865
490	2758	2859
491	2763	2853
492	2768	2846
493	2774	2841
494	2778	2834
495	2783	2828
496	2789	2822
497	2795	2817
498	2800	2811
499	2805	2805
500	2811	2800
501	2816	2794
502	2821	2787
503	2827	2782
504	2833	2777
505	2838	2770
506	2844	2765
507	2849	2760
508	2854	2753
509	2860	2748
510	2865	2742
511	2870	2735
512	2876	2730
513	2881	2724
514	2885	2717
515	2891	2712
516	2897	2706
517	2902	2701
518	2908	2695
519	2913	2688
520	2918	2682
521	2924	2677
522	2929	2671
523	2934	2665
524	2939	2659
525	2943	2652
526	2948	2646
527	2952	2639
528	2957	2633
529	2961	2626
530	2966	2620
531	2971	2614
532	2976	2607
533	2981	2601
534	2986	2596
535	2991	2589
536	2995	2582
537	3000	2576
538	3006	2571
539	3011	2565
540	3017	2559
541	3022	2553
542	3026	2547
543	3033	2542
544	3039	2537
545	3044	2531
546	3050	2526
547	3055	2520
548	3060	2513
549	3066	2508
550	3071	2502
551	3075	2496
552	3081	2490
553	3086	2484
554	3091	2478
555	3096	2472
556	3101	2466
557	3106	2461
558	3111	2454
559	3116	2448
560	3121	2442
561	3125	2436
562	3130	2429
563	3134	2423
564	3138	2416
565	3143	2410
566	3147	2403
567	3152	2397
568	3156	2391
569	3161	2384
570	3165	2378
571	3170	2372
572	3174	2365
573	3179	2359
574	3184	2353
575	3189	2347
576	3194	2341
577	3199	2335
578	3203	2329
579	3208	2323
580	3214	2318
581	3219	2312
582	3224	2306
583	3230	2301
584	3235	2295
585	3240	2289
586	3247	2284
587	3252	2278
588	3257	2273
589	3263	2267
590	3267	2261
591	3272	2255
592	3278	2250
593	3283	2244
594	3288	2238
595	3294	2232
596	3299	2227
597	3303	2220
598	3309	2215
599	3314	2209
600	3319	2203
601	3323	2197
602	3327	2191
603	3332	2184
604	3337	2178
605	3341	2172
606	3346	2166
607	3351	2160
608	3355	2154
609	3360	2148
610	3365	2142
611	3369	2136
612	3374	2130
613	3379	2124
614	3384	2118
615	3388	2112
616	3393	2106
617	3398	2100
618	3403	2094
619	3407	2088
620	3413	2083
621	3419	2078
622	3424	2072
623	3430	2067
624	3435	2061
625	3441	2055
626	3446	2050
627	3451	2044
628	3456	2038
629	3461	2033
630	3467	2027
631	3472	2022
632	3477	2016
633	3483	2010
634	3488	2005
635	3493	1999
636	3498	1993
637	3504	1988
638	3508	1982
639	3513	1976
640	3518	1970
641	3523	1964
642	3528	1958
643	3532	1952
644	3537	1947
645	3541	1940
646	3546	1934
647	3550	1928
648	3554	1922
649	3559	1916
650	3563	1910
651	3568	1904
652	3572	1898
653	3577	1892
654	3582	1886
655	3588	1881
656	3592	1875
657	3598	1870
658	3603	1864
659	3607	1858
660	3613	1853
661	3618	1847
662	3624	1842
663	3630	1837
664	3635	1831
665	3640	1825
666	3646	1820
667	3652	1815
668	3657	1809
669	3662	1803
670	3667	1798
671	3674	1793
672	3680	1788
673	3685	1782
674	3689	1776
675	3694	1770
676	3699	1765
677	3704	1759
678	3708	1753
679	3713	1747
680	3717	1741
681	3722	1735
682	3727	1730
683	3732	1724
684	3737	1718
685	3742	1713
686	3747	1707
687	3751	1701
688	3756	1695
689	3760	1689
690	3765	1683
691	3769	1677
692	3774	1672
693	3779	1666
694	3783	1660
695	3788	1654
696	3792	1648
697	3797	1642
698	3801	1637
699	3806	1631
700	3810	1625
701	3815	1619
702	3820	1613
703	3824	1608
704	3828	1602
705	3833	1596
706	3838	1590
707	3842	1584
708	3846	1578
709	3851	1573
710	3856	1567
711	3860	1561
712	3865	1555
713	3870	1550
714	3876	1545
715	3881	1539
716	3885	1533
717	3890	1528
718	3895	1522
719	3900	1516
720	3905	1511
721	3910	1505
722	3914	1499
723	3919	1494
724	3923	1488
725	3927	1482
726	3934	1477
727	3941	1472
728	3946	1467
729	3951	1461
730	3957	1456
731	3962	1450
732	3967	1445
733	3972	1439
734	3977	1434
735	3983	1428
736	3988	1423
737	3996	1418
738	4006	1415
739	4014	1410
740	4019	1405
741	4030	1401
742	4037	1396
743	4047	1392
744	4053	1387
745	4060	1382
746	4068	1378
747	4077	1373
748	4086	1369
749	4094	1364
750	4101	1359
751	4109	1355
752	4118	1350
753	4127	1346
754	4136	1342
755	4146	1338
756	4158	1334
757	4166	1330
758	4173	1325
759	4181	1320
760	4190	1316
761	4197	1311
762	4212	1308
763	4222	1304
764	4236	1301
765	4248	1297
766	4262	1294
767	4275	1291
768	4289	1288
769	4307	1286
770	4317	1282
771	4352	1285
772	4361	1280
773	4373	1276
774	4381	1271
775	4396	1269
776	4405	1264
777	4414	1259
778	4429	1256
779	4439	1252
780	4448	1247
781	4456	1242
782	4464	1237
783	4476	1233
784	4494	1230
785	4505	1226
786	4520	1223
787	4529	1218
788	4542	1214
789	4554	1210
790	4573	1208
791	4586	1204
792	4603	1201
793	4627	1200
794	4635	1195
795	4645	1190
796	4661	1187
797	4679	1184
